Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
175.0,Greg Stiemsma,29.0,TOR,C,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
176.0,Gigi Datome,27.0,BOS,SF,3.0,0.0,14.0,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,
177.0,James Johnson,27.0,TOR,PF,2.0,0.0,12.0,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,0.0,6.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,
178.0,Dahntay Jones,34.0,LAC,SF,11.0,0.0,18.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,7.0,4.0,0.0,
179.0,Jon Leuer,25.0,MEM,PF,4.0,0.0,9.0,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,
180.0,James Michael McAdoo,22.0,GSW,PF,5.0,0.0,10.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,
181.0,Nazr Mohammed,37.0,CHI,C,3.0,0.0,14.0,2.0,7.0,0.286,0.0,1.0,0.0,2.0,6.0,0.333,0.286,0.0,0.0,,3.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,
182.0,Justin Holiday,25.0,GSW,SG,5.0,0.0,11.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,
183.0,Kostas Papanikolaou,24.0,HOU,SF,8.0,0.0,21.0,1.0,4.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,0.25,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,
184.0,Miles Plumlee,26.0,MIL,C,1.0,0.0,16.0,1.0,8.0,0.125,0.0,0.0,,1.0,8.0,0.125,0.125,1.0,2.0,0.5,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,
185.0,Brandon Rush,29.0,GSW,SG,3.0,0.0,7.0,1.0,6.0,0.167,1.0,2.0,0.5,0.0,4.0,0.0,0.25,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,
186.0,JaMychal Green,24.0,MEM,PF,5.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,
187.0,Jorge Gutiérrez,26.0,MIL,PG,1.0,0.0,12.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,
188.0,Kris Humphries,29.0,WAS,PF,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,
189.0,Shawn Marion,36.0,CLE,SF,6.0,0.0,25.0,1.0,6.0,0.167,0.0,0.0,,1.0,6.0,0.167,0.167,0.0,0.0,,2.0,4.0,6.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,
190.0,Ekpe Udoh,27.0,LAC,PF,4.0,0.0,12.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,
191.0,Martell Webster,28.0,WAS,SF,1.0,0.0,4.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
